Francisco Cervelli;2295;0.404;0.888;0.401;0.019;8; 0.307; 0.663; 0.303; 0.066;8
Yoenis Cespedes;7734;0.624;1.081;0.441;0.283;10.6; 0.51; 0.839; 0.352; 0.244;11.6
Robinson Chirinos;2344;0.458;0.792;0.343;0.291;13.2; 0.488; 0.797; 0.337; 0.252;7.7
Lonnie Chisenhall;5205;0.348;0.642;0.282;0.131;9.1; 0.451; 0.784; 0.333; 0.156;8.8
Ji-Man Choi;2462;0;0.25;0.173;0;0; 0.349; 0.621; 0.27; 0.175;7.3
Shin-Soo Choo;7500;0.587;1.016;0.432;0.283;11.2; 0.333; 0.665; 0.299; 0.113;10.1
Steve Clevenger;2356;0;0;0;0;0; 0.328; 0.648; 0.291; 0.094;6.6
Jason Coats;2702;0.64;1.047;0.44;0.28;8.4; 0.04; 0.24; 0.146; 0;2.2
Chris Coghlan;4223;0.16;0.427;0.215;0.04;0; 0.335; 0.627; 0.275; 0.14;7
Chris Colabello;3236;0;0;0;0;1; 0.105; 0.333; 0.175; 0;3
Tyler Collins;2479;0.111;0.311;0.157;0;3.2; 0.45; 0.78; 0.334; 0.184;8.3
Christian Colon;2433;0.34;0.648;0.289;0.106;4.6; 0.27; 0.557; 0.252; 0.04;6.8
Michael Conforto;2590;0.125;0.295;0.142;0.021;5; 0.469; 0.804; 0.343; 0.227;9.2
Hank Conger;2336;0.375;0.708;0.312;0.125;3; 0.302; 0.562; 0.25; 0.112;5.3
Willson Contreras;2639;0.5;0.854;0.365;0.189;7.7; 0.483; 0.841; 0.362; 0.213;10.6
Carlos Correa;2576;0.385;0.73;0.319;0.149;9.5; 0.473; 0.839; 0.36; 0.186;11.4
Kaleb Cowart;2598;0.412;0.706;0.301;0.118;6.1; 0.221; 0.378; 0.162; 0.074;4.8
Collin Cowgill;7714;0;0.1;0.069;0;0.8; 0.333; 0.833; 0.392; 0;0
Zack Cozart;6274;0.453;0.737;0.31;0.227;8.9; 0.416; 0.731; 0.313; 0.156;10
Brandon Crawford;6253;0.381;0.713;0.311;0.105;9.2; 0.454; 0.801; 0.334; 0.18;10
Carl Crawford;7409;0.083;0.167;0.073;0;0; 0.261; 0.514; 0.229; 0.058;5.1
