13.9,111,5.32662,5.68028,24.9
0,44,2.99308,3.58874,24.9
25,130,3.50337,4.78988,24.7
18.3,97,11.17,5.64,22.2
29.7,123,4.39241,5.00236,21.9
11.6,63,4.09334,4.17181,21.9
6.3,51,3.50337,4.78988,21.9
17.6,104,4.39995,4.26361,21.7
19.1,118,3.60892,3.88994,21.7
6,74,3.50337,4.78988,21.6
6.5,77,4.09334,4.17181,21.4
20.4,104,4.04365,4.79058,44.4
22.2,127,5.65842,5.11819,34.6
42.6,168,4.46058,4.64695,34.2
16.8,101,3.47383,4.45973,31.4
33,137,3.568,3.77846,28.4
15.2,74,3.89465,3.83939,28.2
29.1,118,3.47383,4.45973,27.9
28.3,112,4.37894,3.68331,25.2
19.2,106,4.45852,4.3864,24.9
15.8,71,5.56659,4.63554,24.9
10.1,86,3.29046,4.78249,24.9
23.8,117,3.1212,3.47671,24.7
19.4,117,3.77015,4.47423,24.7
16.7,87,3.89465,3.83939,24.7
19.3,130,3.89465,3.83939,24.4
19.4,159,4.43462,5.22512,22.2
21.1,118,3.29046,4.78249,22.2
1.2,71,5.27001,5.05428,21.7
17.1,124,5.65842,5.11819,21.6
29.1,162,3.89465,3.83939,21.5
31.3,119,3.568,3.77846,19
14.3,112,5.65842,5.11819,19
19.2,152,3.1212,3.47671,18.7
25,106,5.56659,4.63554,18.7
7.6,84,4.37601,4.17851,18.5
15.3,98,4.46058,4.64695,18.4
20.4,95,4.45852,4.3864,18.4
25.2,146,4.43462,5.22512,18.2
23.9,177,3.47383,4.45973,16.2
27.6,170,5.65842,5.11819,16
13.5,65,3.69185,3.6871,57.1
21.4,154,5.92984,3.89309,53.9
6.3,41,4.17202,4.56437,52.8
27.3,140,4.81951,4.29437,47.4
3.7,46,4.17202,4.56437,38.2
20,126,4.13878,4.30747,37.6
16.7,119,4.48828,4.14907,32.2
18.9,73,4.13878,4.30747,31.7
11.1,108,4.51284,4.62114,31.7
8,61,4.0366,4.4553,31.4
8.7,71,3.92573,3.60782,31.2
19,101,3.27231,3.31148,30.7
18.8,113,2.92157,3.76308,28.7
5.5,96,7.09337,6.13733,28.2
22,152,4.17202,4.56437,27.9
17.6,107,4.70687,4.69931,27.9
28,157,4.17202,4.56437,25.7
6.2,62,2.85613,3.58205,25.2
20.2,99,3.69185,3.6871,25.2
13.8,107,4.48828,4.14907,25.2
28.7,131,3.63553,3.62288,24.9
4.5,83,3.46893,3.44598,24.9
16,82,7.09337,6.13733,22.2
34,146,4.17202,4.56437,21.9
24.1,155,4.11314,3.09485,21.7
35.6,183,4.0366,4.4553,21.7
12.4,110,5.16552,4.8124,21.7
30.6,108,4.17202,4.56437,21.7
7.5,47,4.27093,4.02217,21.7
21.1,113,4.71654,4.4153,21.5
31.6,183,8.73862,4.53674,50.1
39.5,188,3.5378,4.11406,47.9
17.4,155,8.73862,4.53674,40.9
28,156,4.66009,4.70845,40.9
22.7,132,3.36831,4.35999,37.9
7.8,58,1.91412,4.59455,37.4
5.2,88,7.965,4.5,37.4
45.2,245,4.5123,4.00433,34.9
5.3,79,7.965,4.5,31.7
31.2,125,1.91412,4.59455,31.4
26.5,162,1.91412,4.59455,31.4
4.3,88,1.91412,4.59455,30.9
16.3,114,4.5123,4.00433,28.7
28.7,118,4.24029,4.13593,28.4
23.2,140,3.54291,4.40497,28.2
28,115,4.24029,4.13593,27.9
8.6,52,3.64149,3.68182,25.7
21.8,154,1.91412,4.59455,25.4
12.5,85,4.32132,4.45999,25.4
30.5,139,4.24029,4.13593,25.2
20,119,3.47949,4.6294,25.2
26.2,144,4.10179,3.53902,25.2
18.8,98,5.23,4.9,25.2
14.5,117,7.965,4.5,22.2
24.1,107,4.10179,3.53902,21.7
17.9,80,4.66009,4.70845,21.7
10.3,114,3.85126,3.89633,21.7
16.8,82,3.36831,4.35999,21.6
16.2,85,3.54291,4.40497,21.2
33.7,148,1.91412,4.59455,18.7
57.1,224,4.07463,4.58536,55.9
12.1,99,3.64927,4.5299,53.1
13.1,51,2.9871,4.21461,47.4
14.7,121,2.9871,4.21461,46.6
9.2,83,4.54914,3.99384,37.4
5.1,110,2.9871,4.21461,34.6
20,90,3.66151,4.38457,34.4
38.6,202,3.94929,3.93,34.2
38.5,180,5.63913,5.25689,34.2
21.3,89,5.82938,3.76929,31.2
13.3,95,2.9871,4.21461,30.9
18.3,112,2.9871,4.21461,29.2
15.3,122,4.06456,4.1753,28.7
12.9,106,3.10842,3.70919,28.2
10.2,92,4.18856,4.82601,27.9
16.7,82,4.20154,4.07848,25.2
32.4,144,4.20154,4.07848,24.9
17.8,99,2.9871,4.21461,24.9
6.1,84,2.9871,4.21461,24.9
29.2,123,4.20154,4.07848,24.7
33.7,173,3.66151,4.38457,22.2
22.6,122,2.73395,3.07006,22.2
14.3,111,2.9871,4.21461,22.2
25.6,150,4.07463,4.58536,21.7
29.4,117,3.44835,3.76919,21.7
22.2,159,3.44835,3.76919,21.7
19.2,98,5.82938,3.76929,21.5
35.5,207,3.10842,3.70919,21.4
18.4,121,5.52936,4.02536,21.2
6.7,45,3.49611,4.04458,21.2
23.5,189,6.39587,5.38267,44.6
27.6,151,3.32647,3.65447,40.9
12.8,115,4.52356,4.2916,37.4
24.1,142,7.36,6.3,31.1
11.6,91,3.51105,4.70556,30.4
32.4,150,3.45268,3.68267,28.7
20.2,121,7.36,6.3,28.4
34.7,210,4.76844,4.35825,28.2
34.4,144,3.53635,3.94714,28.2
12.9,88,2.39427,3.82561,27.7
27.5,151,4.47167,4.92687,25.2
0,92,4.05684,4.49792,25.2
10.3,144,3.10385,3.28105,24.7
8.5,73,3.10385,3.28105,22.2
8.6,78,3.53635,3.94714,22.2
10.6,110,3.51105,4.70556,21.9
29.9,126,3.32647,3.65447,21.7
8.3,57,3.53635,3.94714,21.7
16.2,91,6.39587,5.38267,21.7
15.5,81,6.39587,5.38267,19.2
32.4,195,7.36,6.3,18.9
5.1,77,5.77232,5.87008,18.7
23.5,136,4.61897,4.1221,18.2
30,166,4.70103,4.61752,15.4
14.5,89,4.08078,3.42119,15.2
15.4,115,7.36,6.3,15.2
21,94,5.22039,4.17434,13
10.8,95,7.36,6.3,12.7
21.7,85,3.51105,4.70556,12.5
24.5,166,3.45268,3.68267,12.4
16.3,82,3.68208,3.72441,56.6
16.7,145,3.68208,4.29799,50.6
16.2,107,4.62264,4.30312,50.4
34,163,7.01319,5.23424,43.9
20.9,91,4.11944,4.11295,40.4
