5219;Arenado, Nolan;R;953.082;0.907;0.857;0.683;1.11211;0.96; 
5160;Longoria, Evan;R;946.204;0.753;0.835;0.873;1.13318;1; 
5234;Flores, Wilmer;R;900.435;0.812;0.845;0.979;1.0656;0.88; 
5216;Rendon, Anthony;R;882.789;0.933;0.995;1.502;0.887226;1.02; 
5006;Beltre, Adrian;R;878.486;0.843;0.843;0.915;1.0421;1.08; 
5204;Moustakas, Mike;R;872.491;0.837;0.926;0.474;0.942215;0.98; 
2514;Lamb, Jake;R;850.456;0.925;0.849;0.833;1.00171;1.11; 
5220;Sano, Miguel;L;834.058;0.949;0.869;1.032;0.959791;1.09; 
5168;Headley, Chase;L;828.188;0.714;0.806;1.208;1.02753;1; 
5235;Davidson, Matt;R;827.719;0.855;0.864;0.908;0.958008;1; 
2720;Bregman, Alex;L;801.725;0.737;0.812;0.96;0.987346;0.96; 
5206;Seager, Kyle;R;797.51;0.737;0.744;0.66;1.07192;0.98; 
4230;Frazier, Todd;R;792.272;0.734;0.827;0.881;0.958008;1; 
5214;Gyorko, Jedd;R;735.839;0.856;0.718;1.143;1.02485;1.08; 
5187;Freese, David;R;729.583;0.751;0.695;0.537;1.04976;1; 
5230;Dietrich, Derek;R;729.345;0.674;0.685;0.657;1.06474;0.95; 
5217;Castellanos, Nick;L;686.715;0.724;0.81;0.85;0.847797;1; 
2525;Franco, Maikel;L;647.918;0.649;0.673;0.619;0.962731;0.96; 
2424;Suarez, Eugenio;R;644.373;0.828;0.63;0.403;1.02281;1; 
6266;Machado, Manny;R;603.585;0.744;0.723;1.017;0.834834;1.04; 
2554;Bryant, Kris;R;528.538;0.914;0.827;0.858;0.639103;1.02; 
4215;Valbuena, Luis;R;0;-1;-1;-1;1.06169;0.97; 
2765;Camargo, Johan;R;0;-1;-1;-1;0.899451;1; 
2615;Seager, Corey;R;1027.84;0.908;0.985;1.776;1.04349;0.97; 
6270;Beckham, Tim;R;972.268;0.764;0.858;0.667;1.13318;1; 
6276;Mercer, Jordy;R;957.381;0.773;0.912;0.736;1.04976;1; 
2576;Correa, Carlos;L;943.902;0.898;0.956;0.875;0.987346;0.96; 
6222;Andrus, Elvis;R;888.907;0.779;0.853;0.794;1.0421;1.08; 
6257;Escobar, Eduardo;L;851.335;0.787;0.887;0.532;0.959791;1.09; 
2658;Arcia, Orlando;R;835.162;0.703;0.787;1.095;1.0612;1; 
2647;Story, Trevor;R;779.592;0.72;0.701;0.353;1.11211;0.96; 
6187;Tulowitzki, Troy;R;775.852;0.656;0.619;0.736;1.25339;1.04; 
6295;Bogaerts, Xander;L;768.692;0.843;0.806;0.926;0.953712;1.09; 
6261;Galvis, Freddy;L;767.297;0.715;0.797;1.037;0.962731;0.96; 
6265;Lindor, Francisco;R;707.967;0.787;0.654;0.621;1.08252;1.08; 
2466;Diaz, Aledmys;R;703.044;0.698;0.686;0.556;1.02485;1.08; 
6277;Simmons, Andrelton;R;666.266;0.744;0.777;0.731;0.857485;0.95; 
2602;Turner, Trea;R;645.9;0.725;0.728;0.733;0.887226;1.02; 
2559;Russell, Addison;R;581.584;0.708;0.91;0.957;0.639103;1.02; 
6253;Crawford, Brandon;R;492.041;0.666;0.573;-1;0.858711;0.93; 
6298;Owings, Chris;R;488.998;0.787;0.655;0.723;0.746562;1.08; 
6235;Tejada, Ruben;R;0;-1;-1;-1;0.834834;1.04; 
6249;Iglesias, Jose;L;0;-1;-1;-1;0.847797;1; 
2596;Peraza, Jose;R;0;-1;-1;-1;1.02281;1; 
2764;Riddle, J.T.;R;0;-1;-1;-1;1.06474;0.95; 
6139;Reyes, Jose;R;0;-1;-1;-1;1.0656;0.88; 
6220;Escobar, Alcides;R;0;-1;-1;-1;0.967858;1; 
2704;Anderson, Tim;R;0;-1;-1;-1;0.958008;1; 
3181;Rosales, Adam;R;0;-1;-1;-1;1.1791;0.96; 
2731;Swanson, Dansby;R;0;-1;-1;-1;0.899451;1; 
6282;Segura, Jean;R;-880.093;0.822;-1;0.558;0.880093;0.96; 
7639;McCutchen, Andrew;R;1246.07;0.831;1.187;1.169;1.04976;1; 
2728;Judge, Aaron;L;1218.65;1.139;1.186;1.08;1.02753;1; 
5205;Chisenhall, Lonnie;R;1200.95;0.955;1.09;0.958;1.10179;1.15; 
2633;Smith, Mallex;R;1186.52;0.872;0.945;0.812;1.25558;0.99; 
7780;Ozuna, Marcell;R;1170.46;0.958;1.026;0.796;1.1408;0.88; 
2481;Springer, George;L;1146.31;0.912;1.161;0.947;0.987346;0.96; 
7787;Dickerson, Corey;R;1133.79;0.957;0.903;0.991;1.25558;0.99; 
