Nomar Mazara;0.956522;0.368000;-1.000000;0.790000;2.190000;13.020000;0.192000;
Mike Moustakas;0.956522;0.250000;-1.000000;1.130000;3.640000;10.340000;0.198000;
Lorenzo Cain;0.846154;0.115000;-1.000000;1.130000;3.640000;10.340000;0.247000;
Joe Panik;0.846154;0.208000;0.666667;1.230000;3.350000;7.490000;0.189000;
Odubel Herrera;0.880000;0.148000;0.166667;1.420000;5.090000;6.960000;0.270000;
Christian Arroyo;0.785714;0.154000;-1.000000;1.230000;3.350000;7.490000;0.253000;
Martin Maldonado;0.875000;0.273000;-1.000000;0.870000;2.610000;8.710000;0.200000;
Jorge Bonifacio;0.840000;0.304000;-1.000000;1.130000;3.640000;10.340000;0.247000;
Dansby Swanson;0.875000;0.261000;-1.000000;1.390000;6.590000;3.950000;0.245000;
Randal Grichuk;0.954545;0.222000;-1.000000;1.380000;2.770000;9.000000;0.278000;
Eddie Rosario;0.869565;0.077000;0.000000;1.500000;3.520000;7.040000;0.250000;
Erick Aybar;0.869565;0.200000;-1.000000;1.790000;7.270000;6.750000;0.307500;
Yasiel Puig;0.833333;0.154000;0.250000;0.990000;2.030000;6.240000;0.202000;
Eric Thames;0.863636;0.222000;0.250000;1.390000;3.000000;7.260000;0.272000;
Austin Hedges;0.730769;0.125000;-1.000000;1.790000;7.270000;6.750000;0.353000;
Carlos Beltran;0.826087;0.176000;0.333333;1.720000;4.810000;8.160000;0.284000;
Justin Upton;0.730769;0.130000;0.200000;1.420000;4.260000;10.480000;0.290000;
Adam Rosales;0.692308;0.053000;-1.000000;1.700000;4.870000;9.070000;0.241000;
Dexter Fowler;0.850000;0.130000;-1.000000;1.380000;2.770000;9.000000;0.275500;
Willson Contreras;0.739130;0.278000;-1.000000;1.520000;5.370000;7.790000;0.247000;
Ryan Schimpf;0.666667;0.333000;-1.000000;1.790000;7.270000;6.750000;0.262000;
Chase Headley;0.652174;0.125000;0.285714;1.750000;6.200000;6.860000;0.320000;
