"Name","Team","Game","Pos","PA","H","1B","2B","3B","HR","R","RBI","SB","CS","BB","SO","Yahoo","FanDuel","DraftKings","playerid"
"Gleyber Torres","Yankees","NYY @ MIN","2B","4.16","1.10",".70",".18",".02",".20",".58",".59",".08",".05",".29","1.01","7.12","11.09","8.52","16997"
"Juan Soto","Nationals","WSH @ PHI","LF","4.39",".96",".60",".17",".02",".16",".56",".58",".06",".03",".71","1.24","7.21","11.21","8.40","20123"
"Marwin Gonzalez","Astros","HOU @ DET","LF","4.58","1.16",".76",".22",".04",".13",".58",".65",".04",".03",".38",".91","7.11","11.11","8.49","5497"
"Josh Donaldson","Indians","CLE @ TB","3B","4.48",".83",".47",".17",".01",".18",".57",".61",".03",".01",".82","1.23","7.24","11.27","8.29","5038"
"Michael Brantley","Indians","CLE @ TB","LF","4.80","1.18",".80",".25",".02",".11",".63",".48",".08",".04",".49",".67","7.10","11.02","8.48","4106"
"Anthony Rendon","Nationals","","3B","4.44","1.06",".62",".28",".01",".15",".57",".62",".03",".02",".47",".77","7.07","11.04","8.32","12861"
"Cedric Mullins II","Orioles","OAK @ BAL","OF","4.58","1.10",".67",".23",".04",".17",".58",".48",".11",".07",".33",".83","7.03","10.91","8.45","17929"
"Lorenzo Cain","Brewers","MIL @ CHC","CF","4.71","1.22",".89",".23",".02",".08",".58",".35",".16",".07",".55",".77","7.03","10.84","8.51","9077"
"Jose Abreu","White Sox","CWS @ KC","1B","4.57","1.23",".79",".29",".02",".13",".56",".60",".01",".01",".36",".66","7.00","10.91","8.40","15676"
"Jeff McNeil","Mets","MIA @ NYM","2b","4.44","1.14",".73",".23",".04",".14",".63",".49",".06",".03",".42",".50","7.01","10.89","8.38","15362"
"Greg Bird","Yankees","NYY @ MIN","1B","4.28",".94",".47",".22",".02",".23",".60",".60",".01",".01",".41","1.00","7.02","10.95","8.22","14131"
"Yoan Moncada","White Sox","CWS @ KC","2B","4.80","1.07",".72",".19",".06",".11",".58",".43",".13",".08",".51","1.21","6.96","10.76","8.33","17232"
"Nomar Mazara","Rangers","TEX @ LAA","RF","4.54","1.15",".79",".19",".01",".16",".56",".63",".02",".01",".38",".84","6.92","10.80","8.26","14553"
"Starling Marte","Pirates","PIT @ STL","CF","4.62","1.24",".92",".20",".02",".10",".56",".44",".21",".09",".22",".70","6.86","10.61","8.43","9241"
"Kole Calhoun","Angels","TEX @ LAA","RF","4.65","1.16",".76",".22",".02",".16",".60",".49",".03",".02",".36",".80","6.88","10.68","8.26","11200"
"Christian Yelich","Brewers","MIL @ CHC","LF","4.61","1.14",".77",".23",".03",".11",".59",".47",".08",".04",".44","1.19","6.87","10.65","8.24","11477"
