20170520;148;-169;-169;-10;-0.048;-0.52;
20170522;-196;167;10;51.0204; 0.141;2.29;
20170523;-196;168;10;51.0204; 0.017;-0.22;
20170523;-172;149;10;-10;-0.053;-0.77;
20170523;-167;146;10;59.8802; 0.098;1.57;
20170523;-152;131;10;65.7895; 0.089;1.14;
20170522;-208;177;10;48.0769; 0.081;0.42;
20170522;184;-217;-217;-10;-0.102;-1.65;
20170524;-294;250;10;34.0136; 0.016;-0.1;
20170524;143;-164;-164;-10;-0.08;-1.66;
20170524;-204;175;10;49.0196; 0.14;2.13;
20170524;-154;135;10;64.9351; 0.104;1.32;
20170524;171;-196;-196;171;0.052;0.72;
20170523;-256;215;10;39.0625; 0.027;0.53;
20170523;-167;147;10;59.8802; 0.087;0.51;
20170523;-233;196;10;42.9185; 0.035;0.12;
20170525;-204;175;10;49.0196; 0.021;0.0100002;
20170525;135;-156;-156;-10;-0.076;-1.61;
20170525;-159;137;10;62.8931; 0.056;0.45;
20170524;149;-172;-172;-10;-0.041;-0.2;
20170524;-185;160;10;54.0541; 0.104;1.59;
20170526;-167;145;10;59.8802; 0.034;0.41;
20170526;150;-172;-172;-10;-0.08;-1.03;
20170526;143;-164;-164;-10;-0.061;-1.37;
20170526;-256;214;10;39.0625; 0.158;2.23;
20170527;-200;174;10;50; 0.0459999;0.38;
20170527;148;-169;-169;-10;-0.071;-0.97;
20170527;-263;219;10;38.0228; 0.165;2.26;
20170528;-164;142;10;60.9756; 0.027;0.13;
20170528;-200;173;10;-10;-0.109;-1.16;
20170528;-227;192;10;44.0529; 0.051;0.43;
20170528;169;-196;-196;-10;-0.045;-0.57;
20170528;150;-172;-172;150;0.013;0.44;
20170528;-179;154;10;55.8659; 0.052;1.27;
20170529;-161;141;10;62.1118; 0.018;0.18;
20170529;-208;179;10;-10;-0.077;-0.92;
20170529;189;-222;-222;-10;-0.086;-1.4;
20170529;-270;225;10;37.037; 0.009;0.34;
20170529;149;-169;-169;-10;-0.03;-0.12;
20170530;-196;170;10;-10;-0.054;-0.61;
20170530;-156;136;10;64.1026; 0.06;0.92;
20170530;-167;145;10;59.8802; 0.014;0.37;
20170531;172;-200;-200;172;0.019;-0.04;
20170531;140;-161;-161;-10;-0.021;-0.46;
20170531;190;-222;-222;-10;-0.08;-1.21;
20170530;-172;148;10;58.1395; 0.027;0.0999999;
20170601;-222;189;10;45.045; 0.014;0.41;
20170531;-169;147;10;59.1716; 0.175;2.18;
20170531;-182;156;10;-10;-0.035;-0.71;
20170602;-192;167;10;52.0833; 0.013;0.04;
20170602;-185;159;10;-10;-0.00100005;0.46;
20170603;-175;152;10;57.1429; 0.085;0.71;
20170603;154;-179;-179;-10;-0.038;-0.61;
20170603;-159;138;10;-10;-0.00300002;-0.0799999;
20170603;-154;134;10;64.9351; 0.00199997;0.46;
20170603;161;-185;-185;-10;-0.073;-1;
20170602;-217;185;10;-10;-0.00699997;-0.11;
20170604;-175;152;10;57.1429; 0.00299996;0.5;
20170604;-189;164;10;52.9101; 0.017;0.34;
20170604;-256;217;10;39.0625; 0.0420001;0.39;
